Date, Well
1982-04-07,4787.130153730329
1982-04-08,4829.273006613005
1982-04-09,4444.822678134008
1982-04-10,4257.57116309822
1982-04-11,5013.400604426507
1982-04-12,4862.3102584119315
1982-04-13,5006.772884435912
1982-04-14,4934.135485009048
1982-04-15,4622.315258975245
1982-04-16,4881.1913289360655
1982-04-17,4849.67551270718
1982-04-18,4385.484381788121
1982-04-19,4869.090112182495
1982-04-20,4740.599671454491
1982-04-21,4306.768104912795
1982-04-22,4755.395084069137
1982-04-23,4965.460309079232
1982-04-24,4990.288573172016
1982-04-25,4255.039798536643
1982-04-26,4753.970652169014
1982-04-27,4879.105465433516
1982-04-28,4968.535303393481
1982-04-29,4770.018354575481
1982-04-30,4729.685092741452
1982-05-01,4926.881693174178
1982-05-02,4362.518345838554
1982-05-03,4594.4557861845915
1982-05-04,4434.461391401859
1982-05-05,4868.5264403825
1982-05-06,4451.435028845068
1982-05-07,4814.733423557498
1982-05-08,4518.070413652808
1982-05-09,4484.121864583686
1982-05-10,4403.020008656598
1982-05-11,4807.414649843867
1982-05-12,4538.480288270194
1982-05-13,4622.144333030144
1982-05-14,4489.51565626341
1982-05-15,4813.599550765499
1982-05-16,4974.706752277775
1982-05-17,4909.804628209479
1982-05-18,4583.350409987895
1982-05-19,4438.568217455078
1982-05-20,4375.583821965064
1982-05-21,4385.073018631749
1982-05-22,4944.178930516138
1982-05-23,4890.487117398241
1982-05-24,4611.12183129932
1982-05-25,4966.055705025571
1982-05-26,4568.891361470593
1982-05-27,4344.367532800787
1982-05-28,4376.458376759634
1982-05-29,4769.7799125803995
1982-05-30,4525.1030092721385
1982-05-31,4586.907486473749
1982-06-01,4943.059591664275
1982-06-02,4788.635803264118
1982-06-03,5007.9367703760145
1982-06-04,4819.21543026757
1982-06-05,5333.176090257032
1982-06-06,4590.244992347963
1982-06-07,4758.7992530746105
1982-06-08,4971.959813800171
1982-06-09,4591.773682365957
1982-06-10,5258.47805933501
1982-06-11,4987.434698163992
1982-06-12,4835.961825012529
1982-06-13,5080.235420391568
1982-06-14,4701.8180805338725
1982-06-15,4819.242978625315
1982-06-16,5139.1958354227145
1982-06-17,5108.869593698195
1982-06-18,5162.542026844202
1982-06-19,4974.3436252766605
1982-06-20,4591.626834112183
